身份证	身份证 🪪
挥手	挥手 🖖 👋 🖖🏻 🖖🏼 🖖🏽 🖖🏾 🖖🏿 👋🏻 👋🏼 👋🏽 👋🏾 👋🏿
拳	拳 ✊ 👊 🤛 🤜 ✊🏻 ✊🏼 ✊🏽 ✊🏾 ✊🏿 👊🏻 👊🏼 👊🏽 👊🏾 👊🏿 🤛🏻  🤛🏼  🤛🏽  🤛🏾  🤛🏿 🤜🏻 🤜🏼 🤜🏽 🤜🏾 🤜🏿
拳头	拳头 ✊ 👊 🤛 🤜 ✊🏻 ✊🏼 ✊🏽 ✊🏾 ✊🏿 👊🏻 👊🏼 👊🏽 👊🏾 👊🏿 🤛🏻  🤛🏼  🤛🏽  🤛🏾  🤛🏿 🤜🏻 🤜🏼 🤜🏽 🤜🏾 🤜🏿
胜利	胜利 ✌ ✌🏻 ✌🏼 ✌🏽 ✌🏾 ✌🏿
好运	好运 🤞 🙏 🤞🏻 🤞🏼 🤞🏽 🤞🏾 🤞🏿 🙏🏻 🙏🏼 🙏🏽 🙏🏾 🙏🏿
赞	赞 👍 👍🏻 👍🏼 👍🏽 👍🏾 👍🏿
棒	棒 👍 👍🏻 👍🏼 👍🏽 👍🏾 👍🏿
强	强 👍 👍🏻 👍🏼 👍🏽 👍🏾 👍🏿
弱	弱 👎 👎🏻 👎🏼 👎🏽 👎🏾 👎🏿
推	推 🫸 🫷
鄙视	鄙视 👎 👎🏻 👎🏼 👎🏽 👎🏾 👎🏿 🖕 🖕🏻 🖕🏼 🖕🏽 🖕🏾 🖕🏿
打电话	打电话 🤙 🤙🏻 🤙🏼 🤙🏽 🤙🏾 🤙🏿
手势	手势 👈 👉 ☝ 👆 👇 🖕 👈🏻 👈🏼 👈🏽 👈🏾 👈🏿 👉🏻 👉🏼 👉🏽 👉🏾 👉🏿 ☝🏻 ☝🏼 ☝🏽 ☝🏾 ☝🏿 👆🏻 👆🏼 👆🏽 👆🏾 👆🏿 👇🏻 👇🏼 👇🏽 👇🏾 👇🏿 🖕🏻 🖕🏼 🖕🏽 🖕🏾 🖕🏿
中指	中指 🖕 🖕🏻 🖕🏼 🖕🏽 🖕🏾 🖕🏿
操	操 🖕 🖕🏻 🖕🏼 🖕🏽 🖕🏾 🖕🏿
摇滚	摇滚 🤘 🤘🏻 🤘🏼 🤘🏽 🤘🏾 🤘🏿
重金属	重金属 🤘 🤘🏻 🤘🏼 🤘🏽 🤘🏾 🤘🏿
拜	拜 🙏 🙏🏻 🙏🏼 🙏🏽 🙏🏾 🙏🏿
祈福	祈福 🙏 🙏🏻 🙏🏼 🙏🏽 🙏🏾 🙏🏿
祝福	祝福 🙏 🙏🏻 🙏🏼 🙏🏽 🙏🏾 🙏🏿
祈祷	祈祷 🙏 🤲 🙏🏻 🙏🏼 🙏🏽 🙏🏾 🙏🏿 🤲🏻 🤲🏼 🤲🏽 🤲🏾 🤲🏿
谢谢	谢谢 🙏 🙏🏻 🙏🏼 🙏🏽 🙏🏾 🙏🏿
感谢	感谢 🙏 🙏🏻 🙏🏼 🙏🏽 🙏🏾 🙏🏿
握手	握手 🤝 🤝🏻 🤝🏼 🤝🏽 🤝🏾 🤝🏿 🫱🏻‍🫲🏼 🫱🏻‍🫲🏽 🫱🏻‍🫲🏾 🫱🏻‍🫲🏿 🫱🏼‍🫲🏻 🫱🏼‍🫲🏽 🫱🏼‍🫲🏾 🫱🏼‍🫲🏿 🫱🏽‍🫲🏻 🫱🏽‍🫲🏼 🫱🏽‍🫲🏾 🫱🏽‍🫲🏿 🫱🏾‍🫲🏻 🫱🏾‍🫲🏼 🫱🏾‍🫲🏽 🫱🏾‍🫲🏿 🫱🏿‍🫲🏻 🫱🏿‍🫲🏼 🫱🏿‍🫲🏽 🫱🏿‍🫲🏾
左手	左手 🫲 🫲🏻 🫲🏼 🫲🏽 🫲🏾 🫲🏿 🫳 🫳🏻 🫳🏼 🫳🏽 🫳🏾 🫳🏿 🫷 🫷🏻 🫷🏽 🫷🏿 🫷🏼 🫷🏾
右手	右手 🫱 🫱🏻 🫱🏼 🫱🏽 🫱🏾 🫱🏿 🫴 🫴🏻 🫴🏼 🫴🏽 🫴🏾 🫴🏿 🫸 🫸🏻 🫸🏽 🫸🏿 🫸🏼 🫸🏾
指甲油	指甲油 💅 💅🏻 💅🏼 💅🏽 💅🏾 💅🏿
耳	耳 👂 🦻 👂🏻 👂🏼 👂🏽 👂🏾 👂🏿 🦻🏻 🦻🏼 🦻🏽 🦻🏾 🦻🏿
耳朵	耳朵 👂 🦻 👂🏻 👂🏼 👂🏽 👂🏾 👂🏿 🦻🏻 🦻🏼 🦻🏽 🦻🏾 🦻🏿
听	听 👂 🦻 👂🏻 👂🏼 👂🏽 👂🏾 👂🏿
鼻	鼻 👃 👃🏻 👃🏼 👃🏽 👃🏾 👃🏿
鼻子	鼻子 👃 👃🏻 👃🏼 👃🏽 👃🏾 👃🏿
闻	闻 👃 👃🏻 👃🏼 👃🏽 👃🏾 👃🏿
脚印	脚印 👣
眼	眼 👀 👁 👁‍🗨
眼睛	眼睛 👀 👁 👁‍🗨
看	看 👀
瞧	瞧 👀
脑	脑 🧠
大脑	大脑 🧠
骨	骨 🦴 💀
牙	牙 🦷
牙齿	牙齿 🦷
牙刷	牙刷 🪥
舌头	舌头 👅 😛 😜 😝
舌	舌 👅 😛 😜 😝
嘴	嘴 👄 🫦
口	口 👄 🫦
嘴唇	嘴唇 👄 🫦
唇印	唇印 💋
眼镜	眼镜 👓 🕶
太阳镜	太阳镜 🕶 😎
墨镜	墨镜 🕶 😎
护目镜	护目镜 🥽
实验服	实验服 🥼
领带	领带 👔
T恤	T恤 👕
牛仔裤	牛仔裤 👖
裤	裤 👖
裤子	裤子 👖
围巾	围巾 🧣
手套	手套 🧤
外套	外套 🧥
袜子	袜子 🧦
裙子	裙子 👗 👚
连衣裙	连衣裙 👗
泳衣	泳衣 🩱
内裤	内裤 🩲
短裤	短裤 🩳
莎丽	莎丽 🥻
救生	救生 🦺 🛟
和服	和服 👘
比基尼	比基尼 👙
包	包 👜 👝 👛 🎒 💼
书包	书包 🎒
钱包	钱包 👛 💰
钱袋	钱袋 💰
鞋	鞋 👞 👟 🥾 🥿 👠 👡 👢 🩰 🛼 🩴
凉鞋	凉鞋 👡
拖鞋	拖鞋 🩴
人字拖	人字拖 🩴
王冠	王冠 👑
帽子	帽子 👒 🎩 🎓 🧢 ⛑ 🪖 👲
帽	帽 👒 🎩 🎓 🧢 ⛑ 🪖 👲
扇子	扇子 🪭
扇	扇 🪭
梳子	梳子 🪮
笛	笛 🪈
学位	学位 🎓
安全帽	安全帽 ⛑
头盔	头盔 🪖
口红	口红 💄
戒指	戒指 💍
行李	行李 🧳
雨伞	雨伞 🌂 ☂ ☔
下雨	下雨 ☔ 🌧
伞	伞 ⛱ 🌂 ☂ ☔ 🏖
南瓜	南瓜 🎃
南瓜灯	南瓜灯 🎃
墓碑	墓碑 🪦
标语	标语 🪧
牌子	牌子 🪧
海报	海报 🪧
布告	布告 🪧
万圣节	万圣节 😨 😰 😱 🤡 😈 👿 👹 👺 💀 ☠️ 👻 👽 👾 🤖 🧙‍ 🧚‍ 🧛‍ 🧜‍ 🧝‍ 🧞‍ 🧟‍ 🕴 💚 🖤 🦄 🦇 🦉 🕷 🕸 🥀 🍫 🍬 🍭 🏚 🌃 🛸 🌕 🌚 🌩 ⚡️ 🎃 🔮 🎭 🕯 🗡 ⛓ ⚰️ ⚱️
公文包	公文包 💼
线	线 🧵 🧶 ➰ ➿ ᝰ 〰️ ︴ ﹏ ﹌ ﹋ ╳ ╲ ╱ ︶ ︵ 〵 〴 〳 〆 〄
毛线	毛线 🧶
重复	重复 々 〻
同	同 々 〻
封闭	封闭 〆
封印	封印 〆
猴子	猴子 🐵 🐒 🙈 🙉 🙊
看不见	看不见 🙈
不看	不看 🙈
听不见	听不见 🙉
不听	不听 🙉
猴	猴 🐵 🐒 🙈 🙉 🙊
碰撞	碰撞 💥
爆炸	爆炸 💥
汗	汗 😓 💦
流汗	流汗 😓
汗水	汗水 💦
出汗	出汗 😓 🥵 💦
猩猩	猩猩 🦍 🦧
黑猩猩	黑猩猩 🦍
狗	狗 🐕 🐩 🐶 🦮 🐕‍🦺
导盲犬	导盲犬 🦮 🐕‍🦺
服务犬	服务犬 🦮 🐕‍🦺
树懒	树懒 🦥
水獭	水獭 🦦
臭鼬	臭鼬 🦨
火烈鸟	火烈鸟 🦩
禽	禽 🦆 🐓 🦃 🐔 🐤 🐣 🐥 🦚
家禽	家禽 🦆 🐓 🦃 🐔 🐤 🐣 🐥 🦚
狼	狼 🐺
狐狸	狐狸 🦊
狐	狐 🦊
浣熊	浣熊 🦝
海豹	海豹 🦭
狮子	狮子 🦁 𓃭
狮	狮 🦁 𓃭
虎	虎 🐯 🐅
老虎	老虎 🐯 🐅
豹	豹 🐆
驴	驴 🫏
美洲豹	美洲豹 🐆
马	马 🐎 🐴
独角兽	独角兽 🦄
斑马	斑马 🦓
牛	牛 🐂 🐃 🐄 🦬 🐮
奶牛	奶牛 🐄 🐮
水牛	水牛 🐃
野牛	野牛 🦬
猪	猪 🐷 🐖 🐗 🐽 𓃟
野猪	野猪 🐗
羊	羊 🐏 🐑 🐐
山羊	山羊 🐐
绵羊	绵羊 🐑
骆驼	骆驼 🐪 🐫 🦙
美洲驼	美洲驼 🦙
羊驼	羊驼 🦙
草泥马	草泥马 🦙
河狸	河狸 🦫
长颈鹿	长颈鹿 🦒
象	象 🐘 🦣 𓃰
大象	大象 🐘 🦣 𓃰
猛犸	猛犸 🦣
毛象	毛象 🦣
犀牛	犀牛 🦏
河马	河马 🦛
鼠	鼠 🐭 🐁 🐀 🐹 🐿
老鼠	老鼠 🐭 🐁 🐀
松鼠	松鼠 🐿
仓鼠	仓鼠 🐹
兔	兔 🐰 🐇 𓃹
兔子	兔子 🐰 🐇 𓃹
刺猬	刺猬 🦔
熊	熊 🐻 🐻‍❄️ 🧸
考拉	考拉 🐨
树袋熊	树袋熊 🐨
熊猫	熊猫 🐼
北极熊	北极熊 🐻‍❄️
袋鼠	袋鼠 🦘
獾	獾 🦡
爪	爪 🐾
爪印	爪印 🐾
火鸡	火鸡 🦃
鸡	鸡 🐔 🐓 🐣 🐤 🐥 𓅱
公鸡	公鸡 🐓
鸟	鸟 🐦 🦆 🦅 🦉 🦤 🦇 🐓 🦃 🕊 🐧 🦚 🦜 𓅡 𓅡 𓅬
鸟巢	鸟巢 🪹 🪺
企鹅	企鹅 🐧
鸽	鸽 🕊 🐦
鸽子	鸽子 🕊 🐦
鹰	鹰 🦅 𓄿 𓆂
老鹰	老鹰 🦅 𓄿 𓆂
鸭	鸭 🦆 𓅿 𓅹
鸭子	鸭子 🦆 𓅿 𓅹
鹅	鹅 🪿
天鹅	天鹅 🦢
猫头鹰	猫头鹰 🦉 𓅓 𓅔
蝙蝠	蝙蝠 🦇
孔雀	孔雀 🦚
鹦鹉	鹦鹉 🦜
青蛙	青蛙 🐸 𓆏
甲虫	甲虫 🪲 𓆣
蟑螂	蟑螂 🪳
蛙	蛙 🐸 𓆏
蛤蟆	蛤蟆 🐸
鳄鱼	鳄鱼 🐊 𓆊 𓆌 𓆋
龟	龟 🐢 𓆉
海龟	海龟 𓆉
乌龟	乌龟 🐢
蝌蚪	蝌蚪 𓆐
蜥蜴	蜥蜴 🦎 🦕 𓆈
壁虎	壁虎 🦎
蛇	蛇 🐍 𓆑 𓆓 𓆕 𓆗 𓆙 𓆚
眼镜蛇	眼镜蛇 𓆗
龙	龙 🐲 🐉
恐龙	恐龙 🦖 🦕
霸王龙	霸王龙 🦖
鲸鱼	鲸鱼 🐳 🐋
鲸	鲸 🐳 🐋
海豚	海豚 🐬
鱼	鱼 🐟 🐠 🐡 🐬 🐳 🐋 🦈 𓆞
河豚	河豚 🐡
鲨鱼	鲨鱼 🦈
章鱼	章鱼 🐙
贝壳	贝壳 🐚
海螺	海螺 🐚
海	海 🏖 ⛱️ 🐚 🌊 👙
海边	海边 🏖 ⛱️ 🐚 🌊 👙
珊瑚	珊瑚 🪸
螃蟹	螃蟹 🦀
龙虾	龙虾 🦞
虾	虾 🦐 🍤
乌贼	乌贼 🦑
鱿鱼	鱿鱼 🦑
水母	水母 🪼
海蜇	海蜇 🪼
蜗牛	蜗牛 🐌
蝴蝶	蝴蝶 🦋
虫子	虫子 🐛 🪱
虫	虫 🐛 🪱
蠕虫	蠕虫 🪱
蚯蚓	蚯蚓 🪱
毛毛虫	毛毛虫 🐛
蚂蚁	蚂蚁 🐜
蜜蜂	蜜蜂 🐝 𓆤
瓢虫	瓢虫 🐞
七星瓢虫	七星瓢虫 🐞
花大姐	花大姐 🐞
苍蝇	苍蝇 🪰 𓆦
蜈蚣	蜈蚣 𓆨
蟋蟀	蟋蟀 🦗
蚱蜢	蚱蜢 𓆧
蜘蛛	蜘蛛 🕷
蜘蛛网	蜘蛛网 🕸
蝎子	蝎子 🦂 𓆫
蚊子	蚊子 🦟
蚊	蚊 🦟
细菌	细菌 🦠
微生物	微生物 🦠
病菌	病菌 🦠
病毒	病毒 🦠
花	花 💐 🌸 💮 🏵 🌹 🥀 🌺 🌻 🌼 🌷 🪻 ꧁ ꧂ ࿆ ⚜️
莲花	莲花 🪷 ࿆
荷花	荷花 🪷
花束	花束 💐
樱花	樱花 🌸
玫瑰	玫瑰 🌹
枯萎	枯萎 🥀
凋零	凋零 🥀
凋谢	凋谢 🥀
太阳花	太阳花 🌻
向日葵	向日葵 🌻
葵花	葵花 🌻
郁金香	郁金香 🌷
扶桑	扶桑 🌼
树苗	树苗 🌱
幼苗	幼苗 🌱
盆栽	盆栽 🪴
树	树 🌳 🌴 🌲 🎄 🎍 🌱
松树	松树 🌲 🎄 🎍
棕榈	棕榈 🌴
仙人掌	仙人掌 🌵
稻子	稻子 🌾
水稻	水稻 🌾
稻	稻 🌾
大米	大米 🌾
药草	药草 🌿
三叶草	三叶草 ☘
四叶草	四叶草 🍀
幸运草	幸运草 🍀
碗豆	碗豆 🫛
碗豆荚	碗豆荚 🫛
枫叶	枫叶 🍁
落叶	落叶 🍂
叶子	叶子 🍃 🍂 🍁 🌱 🌿 🥬 ☘ 🍀
叶	叶 🍃 🍂 🍁 🌱 🌿 🥬 ☘ 🍀
风信子	风信子 🪻
蘑菇	蘑菇 🍄
栗子	栗子 🌰
地球	地球 🌍 🌎 🌏 🌐
土星	土星 🪐
月亮	月亮 🌝 🌚 🌑 🌒 🌓 🌔 🌕 🌖 🌗 🌘 🌙 🌛 🌜
月球	月球 🌝 🌚 🌑 🌒 🌓 🌔 🌕 🌖 🌗 🌘 🌙 🌛 🌜
满月	满月 🌕 🌝
月食	月食 🌑
新月	新月 🌙 🌑 🌘 🌒 🌚
弦月	弦月 🌙
月牙	月牙 🌙
上弦	上弦 🌓 🌛
下弦	下弦 🌗 🌜
太阳	太阳 🌞 ☀
晴天	晴天 ☀
光明	光明 🌞
星星	星星 ⭐ 🌟 🌠 ✨ 🤩
星	星 * *️⃣ ★ ☆ ⛤ ⛥ ⛦ ⛧ ✡ ❋ ❊ ❉ ❈ ❇ ❆ ❅ ❄ ❃ ❂ ❁ ❀ ✿ ✾ ✽ ✼ ✻ ✺ ✹ ✸ ✷ ✶ ✵ ✴ ✳ ✲ ✱ ✰ ✯ ✮ ✭ ✬ ✫ ✪ ✩ ✧ ✦ ✥ ✤ ✣ ✢
流星	流星 🌠
彗星	彗星 ☄
云	云 ☁ ⛅ ⛈ 🌤 🌥 🌦 🌧 🌨 🌩 ༺ ༻
多云	多云 ⛅ ☁
阴天	阴天 ⛅ ☁
云彩	云彩 ☁ ⛅ ⛈ 🌤 🌥 🌦 🌧 🌨 🌩 ༺ ༻
龙卷风	龙卷风 🌪
雾	雾 🌫 🌁 😶‍🌫️
风	风 🌬 💨
彩虹	彩虹 🌈 🏳️‍🌈
闪电	闪电 ⚡
电	电 ⚡
雷电	雷电 ⚡
雷	雷 ⚡
雪	雪 ❄ 🌨 🌨 ☃ ⛄️
下雪	下雪 🌨 ❄
雪花	雪花 ❄
雪人	雪人 ☃ ⛄
火	火 ㊋ ㈫ 🔥
火焰	火焰 🔥
水	水 ㊌ ㈬ 💧 🚰
水滴	水滴 💧
波浪	波浪 🌊
浪	浪 🌊
火星	火星 ✨
七夕	七夕 🎋
蛋	蛋 🥚 🐣
鸡蛋	鸡蛋 🥚 🐣
葡萄	葡萄 🍇
瓜	瓜 🍈 🍉 🎃
翅膀	翅膀 🪽
哈密瓜	哈密瓜 🍈
西瓜	西瓜 🍉
橘子	橘子 🍊
柠檬	柠檬 🍋
香蕉	香蕉 🍌
菠萝	菠萝 🍍
凤梨	凤梨 🍍
芒果	芒果 🥭
苹果	苹果 🍎 🍏 
梨	梨 🍐
鸭梨	鸭梨 🍐
桃子	桃子 🍑
桃	桃 🍑
樱桃	樱桃 🍒
草莓	草莓 🍓
蓝莓	蓝莓 🫐
橄榄	橄榄 🫒
猕猴桃	猕猴桃 🥝
柿子	柿子 🍅
西红柿	西红柿 🍅
椰子	椰子 🥥
鳄梨	鳄梨 🥑
茄子	茄子 🍆
土豆	土豆 🥔
豆	豆 🫘
豆子	豆子 🫘
蒜	蒜 🧄
大蒜	大蒜 🧄
洋葱	洋葱 🧅
胡萝卜	胡萝卜 🥕
玉米	玉米 🌽 🫔
苞米	苞米 🌽 🫔
辣椒	辣椒 🌶 🫑
黄瓜	黄瓜 🥒
蔬菜	蔬菜 🥬 🍅 🍆 🥒 🥕 🌶 🥦 🥗
菜	菜 🥬 🍅 🍆 🥒 🥕 🌶 🥦 🥗
青菜	青菜 🥬
菜花	菜花 🥦
花椰菜	花椰菜 🥦
姜	姜 🫚
花生	花生 🥜
饼干	饼干 🥨 🥯 🥠 🍩 🍪 🍘 🧇
饼	饼 🥞 🫓 🌮 🌯 🀙 🀚 🀛 🀜 🀝 🀞 🀟 🀠 🀡
奶酪	奶酪 🧀
起司	起司 🧀
黄油	黄油 🧈
肉	肉 🍖 🍗 🥩 🥓 🍤
牡蛎	牡蛎 🦪
蚝	蚝 🦪
生蚝	生蚝 🦪
鸡腿	鸡腿 🍗
培根	培根 🥓
汉堡	汉堡 🍔
薯条	薯条 🍟
批萨	批萨 🍕
比萨	比萨 🍕
批萨饼	批萨饼 🍕
比萨饼	比萨饼 🍕
热狗	热狗 🌭
三明治	三明治 🥪 🧆
烹饪	烹饪 🍳
锅	锅 🍳 🫕 🥘 🍲 🥣
火锅	火锅 🫕
做饭	做饭 🍳
煎蛋	煎蛋 🍳
沙拉	沙拉 🥗
爆米花	爆米花 🍿
盐	盐 🧂
食盐	食盐 🧂
罐头	罐头 🥫
便当	便当 🍱
饭团	饭团 🍙
仙贝	仙贝 🍘
米饭	米饭 🍚
咖喱	咖喱 🍛
面	面 🍜 🍝
面条	面条 🍜 🍝
意大利面	意大利面 🍝
红薯	红薯 🍠
地瓜	地瓜 🍠
肉串	肉串 🍢
串	串 🍢
关东煮	关东煮 🍢
寿司	寿司 🍣
天妇罗	天妇罗 🍤
鱼板	鱼板 🍥
月饼	月饼 🥮
团子	团子 🍡
饺子	饺子 🥟
外卖	外卖 🥡
冰淇淋	冰淇淋 🍦 🍨
冰	冰 🧊
冰块	冰块 🧊
刨冰	刨冰 🍧
曲奇	曲奇 🍪
快餐	快餐 🍔 🌭 🍟 🥞 🥡 🥫
日料	日料 🍥 🍣 🍱 🍙 🍘
蛋糕	蛋糕 🎂 🍰 🧁
生日	生日 🎂
派	派 🥧
馅饼	馅饼 🥧
巧克力	巧克力 🍫
糖	糖 🍬 🍭
糖果	糖果 🍬 🍭
棒棒糖	棒棒糖 🍭
果冻	果冻 🍮
蜂蜜	蜂蜜 🍯
奶瓶	奶瓶 🍼
牛奶	牛奶 🥛
热饮	热饮 ☕
茶	茶 🍵
奶茶	奶茶 🧋
茶杯	茶杯 🍵
茶壶	茶壶 🫖
清酒	清酒 🍶
香槟	香槟 🍾
庆祝	庆祝 🍾 🥳
欢庆	欢庆 🍾
酒杯	酒杯 🍷 🫗
杯子	杯子 🍵 🍷 🫗
瓶子	瓶子 🫙
瓶	瓶 🫙
倒	倒 🫗
倾倒	倾倒 🫗
红酒	红酒 🍷
葡萄酒	葡萄酒 🍷
鸡尾酒	鸡尾酒 🍸
啤酒	啤酒 🍺 🍻
干杯	干杯 🥂
威士忌	威士忌 🥃
筷子	筷子 🥢
刀叉	刀叉 🍽 🍴
勺	勺 🥄
勺子	勺子 🥄
匙	匙 🥄
汤	汤 🥣
汤匙	汤匙 🥄
酒	酒 🍷 🍸 🍹 🍺 🍻 🥂 🥃 🥤 🍶
攀岩	攀岩 🧗‍♂️ 🧗‍ 🧗‍♀️ 🧗🏻‍♂️ 🧗🏼‍♂️ 🧗🏽‍♂️ 🧗🏾‍♂️ 🧗🏿‍♂️ 🧗🏻 🧗🏼 🧗🏽 🧗🏾 🧗🏿 🧗🏻‍♀️ 🧗🏼‍♀️ 🧗🏽‍♀️ 🧗🏾‍♀️ 🧗🏿‍♀️
瑜伽	瑜伽 🧘‍♂️ 🧘 🧘‍♀️ 🧘🏻‍♂️ 🧘🏼‍♂️ 🧘🏽‍♂️ 🧘🏾‍♂️ 🧘🏿‍♂️ 🧘🏻 🧘🏼 🧘🏽 🧘🏾 🧘🏿 🧘🏻‍♀️ 🧘🏼‍♀️ 🧘🏽‍♀️ 🧘🏾‍♀️ 🧘🏿‍♀️
骑马	骑马 🏇 🏇🏻 🏇🏼 🏇🏽 🏇🏾 🏇🏿
赛马	赛马 🏇 🏇🏻 🏇🏼 🏇🏽 🏇🏾 🏇🏿
滑雪	滑雪 ⛷ 🏂 🎿
高尔夫	高尔夫 🏌️‍♂️ 🏌️ 🏌️‍♀️ ⛳ 🏌🏻‍♂️ 🏌🏼‍♂️ 🏌🏽‍♂️ 🏌🏾‍♂️ 🏌🏿‍♂️ 🏌🏻 🏌🏼 🏌🏽 🏌🏾 🏌🏿 🏌🏻‍♀️ 🏌🏼‍♀️ 🏌🏽‍♀️ 🏌🏾‍♀️ 🏌🏿‍♀️
冲浪	冲浪 🏄‍♂️ 🏄 🏄‍♀️ 🏄🏻‍♂️ 🏄🏼‍♂️ 🏄🏽‍♂️ 🏄🏾‍♂️ 🏄🏿‍♂️ 🏄🏻 🏄🏼 🏄🏽 🏄🏾 🏄🏿 🏄🏻‍♀️ 🏄🏼‍♀️ 🏄🏽‍♀️ 🏄🏾‍♀️ 🏄🏿‍♀️
划船	划船 🚣‍♂️ 🚣 🚣‍♀️ 🚣🏻‍♂️ 🚣🏼‍♂️ 🚣🏽‍♂️ 🚣🏾‍♂️ 🚣🏿‍♂️ 🚣🏻 🚣🏼 🚣🏽 🚣🏾 🚣🏿 🚣🏻‍♀️ 🚣🏼‍♀️ 🚣🏽‍♀️ 🚣🏾‍♀️ 🚣🏿‍♀️
游泳	游泳 🏊‍♂️ 🏊 🏊‍♀️ 🏊🏻‍♂️ 🏊🏼‍♂️ 🏊🏽‍♂️ 🏊🏾‍♂️ 🏊🏿‍♂️ 🏊🏻 🏊🏼 🏊🏽 🏊🏾 🏊🏿 🏊🏻‍♀️ 🏊🏼‍♀️ 🏊🏽‍♀️ 🏊🏾‍♀️ 🏊🏿‍♀️
潜水	潜水 🤿
篮球	篮球 🏀 ⛹️‍♂️ ⛹️ ⛹️‍♀️ ⛹🏻‍♂️ ⛹🏼‍♂️ ⛹🏽‍♂️ ⛹🏾‍♂️ ⛹🏿‍♂️ ⛹🏻 ⛹🏼 ⛹🏽 ⛹🏾 ⛹🏿 ⛹🏻‍♀️ ⛹🏼‍♀️ ⛹🏽‍♀️ ⛹🏾‍♀️ ⛹🏿‍♀️
举重	举重 🏋️‍♂️ 🏋️ 🏋️‍♀️ 🏋🏻‍♂️ 🏋🏼‍♂️ 🏋🏽‍♂️ 🏋🏾‍♂️ 🏋🏿‍♂️ 🏋🏻 🏋🏼 🏋🏽 🏋🏾 🏋🏿 🏋🏻‍♀️ 🏋🏼‍♀️ 🏋🏽‍♀️ 🏋🏾‍♀️ 🏋🏿‍♀️
骑车	骑车 🚴‍♂️ 🚴 🚴‍♀️ 🚵‍♂️ 🚵 🚵‍♀️ 🚴🏻‍♂️ 🚴🏼‍♂️ 🚴🏽‍♂️ 🚴🏾‍♂️ 🚴🏿‍♂️ 🚴🏻 🚴🏼 🚴🏽 🚴🏾 🚴🏿 🚴🏻‍♀️ 🚴🏼‍♀️ 🚴🏽‍♀️ 🚴🏾‍♀️ 🚴🏿‍♀️ 🚵🏻‍♂️ 🚵🏼‍♂️ 🚵🏽‍♂️ 🚵🏾‍♂️ 🚵🏿‍♂️ 🚵🏻 🚵🏼 🚵🏽 🚵🏾 🚵🏿 🚵🏻‍♀️ 🚵🏼‍♀️ 🚵🏽‍♀️ 🚵🏾‍♀️ 🚵🏿‍♀️
翻跟头	翻跟头 🤸 🤸‍♂️ 🤸‍♀️ 🤸🏻‍♂️ 🤸🏼‍♂️ 🤸🏽‍♂️ 🤸🏾‍♂️ 🤸🏿‍♂️ 🤸🏻‍♀️ 🤸🏼‍♀️ 🤸🏽‍♀️ 🤸🏾‍♀️ 🤸🏿‍♀️
体操	体操 🤸‍♂️ 🤸 🤸‍♀️ 🤸🏻‍♂️ 🤸🏼‍♂️ 🤸🏽‍♂️ 🤸🏾‍♂️ 🤸🏿‍♂️ 🤸🏻 🤸🏼 🤸🏽 🤸🏾 🤸🏿 🤸🏻‍♀️ 🤸🏼‍♀️ 🤸🏽‍♀️ 🤸🏾‍♀️ 🤸🏿‍♀️
摔跤	摔跤 🤼‍♂️ 🤼 🤼‍♀️
击剑	击剑 🤺
水球	水球 🤽‍♂️ 🤽 🤽‍♀️ 🤽🏻‍♂️ 🤽🏼‍♂️ 🤽🏽‍♂️ 🤽🏾‍♂️ 🤽🏿‍♂️ 🤽🏻 🤽🏼 🤽🏽 🤽🏾 🤽🏿 🤽🏻‍♀️ 🤽🏼‍♀️ 🤽🏽‍♀️ 🤽🏾‍♀️ 🤽🏿‍♀️
手球	手球 🤾‍♂️ 🤾 🤾‍♀️ 🤾🏻‍♂️ 🤾🏼‍♂️ 🤾🏽‍♂️ 🤾🏾‍♂️ 🤾🏿‍♂️ 🤾🏻 🤾🏼 🤾🏽 🤾🏾 🤾🏿 🤾🏻‍♀️ 🤾🏼‍♀️ 🤾🏽‍♀️ 🤾🏾‍♀️ 🤾🏿‍♀️
马戏	马戏 🤹‍♂️ 🤹‍ 🤹‍♀️ 🤹🏻‍♂️ 🤹🏼‍♂️ 🤹🏽‍♂️ 🤹🏾‍♂️ 🤹🏿‍♂️ 🤹🏻 🤹🏼 🤹🏽 🤹🏾 🤹🏿 🤹🏻‍♀️ 🤹🏼‍♀️ 🤹🏽‍♀️ 🤹🏾‍♀️ 🤹🏿‍♀️
杂技	杂技 🤹‍♂️ 🤹‍ 🤹‍♀️ 🤹🏻‍♂️ 🤹🏼‍♂️ 🤹🏽‍♂️ 🤹🏾‍♂️ 🤹🏿‍♂️ 🤹🏻 🤹🏼 🤹🏽 🤹🏾 🤹🏿 🤹🏻‍♀️ 🤹🏼‍♀️ 🤹🏽‍♀️ 🤹🏾‍♀️ 🤹🏿‍♀️
马戏团	马戏团 🎪
滑板	滑板 🛹
滑梯	滑梯 🛝
丝带	丝带 🎗
票	票 🎫
军功章	军功章 🎖
奖杯	奖杯 🏆
奖牌	奖牌 🏅 🥇 🥈 🥉
冠军	冠军 🥇
亚军	亚军 🥈
季军	季军 🥉
奖	奖 🏅 🎖 🥇 🥈 🥉 🏆
奖项	奖项 🏅 🎖 🥇 🥈 🥉 🏆
娱乐	娱乐 🎮 🎰 🎲 🎯 🎳 🪅 🎧 🎤 🎪 🎫 🎟 ♟ 🕹 🖲
